taxid,ko
2059312,K24321
192848,K24321
208899,K24321
2886894,K24321
499556,K24321
45223,K24321
46919,K24321
11631,K24321
2169991,K25122
11628,K25122
45219,K25122
2907957,K25122
42764,K24323
45221,K24323
11250,K22613
12814,K22613
11250,K22613
11246,K19261
11250,K19261
12814,K19261
2482952,K19261
270473,K19261
11250,K19261
11247,K19261
162145,K19261
38525,K19261
63330,K24547
2847089,K24547
1221391,K24547
1474807,K24547
121791,K24547
63330,K24957
121791,K24957
11191,K25521
11215,K25521
1357321,K25521
1529392,K25521
929831,K25521
11216,K25521
12730,K25521
11191,K25339
11215,K25339
1357321,K25339
1529392,K25339
929831,K25339
11216,K25339
12730,K25339
11191,K25340
11215,K25340
1357321,K25340
1529392,K25340
929831,K25340
11216,K25340
12730,K25340
2560602,K24549
11224,K24549
1261101,K24549
2560766,K24549
2905673,K24549
2560582,K24549
2560645,K24549
2495433,K24549
2560525,K24549
1980491,K24571
1980467,K24571
1980471,K24571
1980486,K24571
1980494,K24571
1679445,K24571
1980481,K24571
990280,K24571
1400425,K24571
1424613,K24571
1980464,K24571
1980490,K24571
238817,K24571
564878,K24571
169173,K24571
1167310,K24571
1980468,K24571
469960,K24571
1980476,K24571
943342,K24571
1001080,K24571
1314974,K24571
1980485,K24571
765147,K24571
2847081,K24571
1980463,K24571
1980475,K24571
1980489,K24571
1980459,K24571
1980458,K24571
660954,K24571
1145238,K24571
93830,K24571
1980456,K24571
11582,K24572
159141,K24572
159150,K24572
35306,K24572
1368616,K24572
1406134,K24572
1495866,K24572
1590836,K24572
35304,K24572
118655,K24572
192196,K24572
192199,K24572
35310,K24572
35316,K24572
35312,K24572
307164,K24572
292278,K24572
348013,K24572
1867943,K24572
1552846,K24572
1678227,K24572
1678224,K24572
1678225,K24572
35313,K24572
1933272,K24572
1678234,K24572
80939,K24572
35314,K24572
80938,K24572
80941,K24572
35319,K24572
273350,K24572
552554,K24572
999729,K24572
1623310,K24572
1678231,K24572
35318,K24572
35511,K24572
35514,K24572
35515,K24572
45767,K24572
45768,K24572
80935,K24572
80940,K24572
80942,K24572
150058,K24572
159138,K24572
159140,K24572
159144,K24572
159145,K24572
159147,K24572
159148,K24572
159151,K24572
159152,K24572
273341,K24572
273345,K24572
273347,K24572
273349,K24572
273354,K24572
273355,K24572
273356,K24572
273358,K24572
273360,K24572
611707,K24572
1133363,K24572
1138490,K24572
1821545,K24572
1856565,K24572
2303488,K24572
70566,K24572
35305,K24572
35516,K24572
11580,K24572
1642852,K24572
45270,K24572
11575,K24572
273352,K24572
11577,K24572
1381104,K25347
1615758,K25347
1712572,K25347
1608047,K25347
1608083,K25347
1608094,K25347
1980519,K25347
194540,K25347
1712570,K25347
11596,K25347
2847812,K25347
1980529,K25347
1453404,K25347
2170061,K25347
2170062,K25347
1810944,K25347
1810946,K25347
1810947,K25347
1810950,K25347
2170057,K25347
1980521,K25347
1381104,K25348
1615758,K25348
1712570,K25348
1712572,K25348
1608047,K25348
1608083,K25348
1608094,K25348
1980519,K25348
194540,K25348
11596,K25348
2847812,K25348
1980529,K25348
1453404,K25348
2170061,K25348
2170062,K25348
1810944,K25348
1810950,K25348
1980521,K25348
1381104,K24573
1615758,K24573
1712570,K24573
1712572,K24573
1608083,K24573
1980519,K24573
194540,K24573
11596,K24573
2847812,K24573
1980529,K24573
1453404,K24573
2170061,K24573
2170062,K24573
1810944,K24573
1810946,K24573
1810947,K24573
1810950,K24573
1980521,K24573
1167696,K25341
38766,K25341
211977,K25341
249583,K25341
38767,K25341
11292,K25341
1072176,K25341
746543,K25341
249584,K25341
237716,K25341
642022,K25341
1213198,K25341
1846259,K25341
12538,K25341
57482,K25341
57483,K25341
2026129,K25341
90961,K25341
1167696,K25342
38766,K25342
211977,K25342
249583,K25342
38767,K25342
11292,K25342
1072176,K25342
746543,K25342
249584,K25342
237716,K25342
642022,K25342
1213198,K25342
1846259,K25342
12538,K25342
57482,K25342
57483,K25342
2026129,K25342
90961,K25342
1167696,K24589
38766,K24589
211977,K24589
249583,K24589
38767,K24589
11292,K24589
1072176,K24589
746543,K24589
249584,K24589
237716,K24589
642022,K24589
1213198,K24589
1846259,K24589
12538,K24589
57482,K24589
57483,K24589
90961,K24589
11318,K24591
2137161,K24591
11569,K24591
629725,K24859
688699,K24859
1006583,K24859
992212,K24859
1219465,K24859
1405807,K24859
904698,K24859
1216928,K24859
1213620,K24859
1457386,K24859
1611877,K24859
1608048,K24859
1608095,K24859
11591,K24859
206160,K24859
1926500,K24859
1926501,K24859
1055750,K24859
1926502,K24859
904722,K24859
1048854,K24859
1851087,K24859
1764086,K24859
1764085,K24859
1457322,K24859
11587,K24859
1003835,K24859
1763596,K24859
1569922,K24859
1564120,K24859
904699,K24859
655691,K24859
655689,K24859
629739,K24859
629737,K24859
629736,K24859
629727,K24859
629726,K24859
487098,K24859
487097,K24859
1000646,K24859
1004889,K24859
1006585,K24859
1006586,K24859
1010668,K24859
2748235,K24859
1048855,K24859
1460451,K24859
1531287,K24859
1564099,K24859
1725367,K24859
1775957,K24859
206377,K24859
391640,K24859
426790,K24859
206161,K24859
415382,K24859
629730,K24859
629735,K24859
629740,K24859
693015,K24859
1416745,K24859
1764087,K24859
11588,K24859
159141,K25345
159150,K25345
11582,K25345
35306,K25345
1368616,K25345
1406134,K25345
1495866,K25345
1590836,K25345
35304,K25345
118655,K25345
192199,K25345
35310,K25345
35312,K25345
192196,K25345
35316,K25345
292278,K25345
348013,K25345
307164,K25345
1867943,K25345
1552846,K25345
1678227,K25345
1678224,K25345
1678225,K25345
35313,K25345
1933272,K25345
1678234,K25345
80939,K25345
35314,K25345
80941,K25345
35319,K25345
273350,K25345
552554,K25345
999729,K25345
1623310,K25345
1678231,K25345
35318,K25345
35511,K25345
35514,K25345
35515,K25345
45767,K25345
45768,K25345
80935,K25345
80940,K25345
80942,K25345
150058,K25345
159138,K25345
159140,K25345
159144,K25345
159145,K25345
159147,K25345
159148,K25345
159151,K25345
159152,K25345
273341,K25345
273345,K25345
273347,K25345
273349,K25345
273354,K25345
273355,K25345
273356,K25345
273358,K25345
273360,K25345
611707,K25345
1133363,K25345
1138490,K25345
1821545,K25345
1856565,K25345
2303488,K25345
70566,K25345
35305,K25345
159143,K25345
35516,K25345
11580,K25345
1642852,K25345
45270,K25345
